_id,donation_a_pets,donation_b_art,donation_c_education,donation_d_environment,donation_e_health,donation_f_human,donation_g_international,donation_h_faith,donation_i_veteran,time,userId,isQV
5e65bb344bf44833d0d2d9e2,10,0,0,0,0,0,0,0,0,42:44.5,5e65b7944bf44833d0d2d9df,2
5e661e1d6bfc85c26cd5cdbd,0,0,0,0,0,0,0,0,0,44:45.4,5e661b7d161ce7a7758cdadb,1
5e66401a4e03dda6b1aa3652,1,0,0,1,0,0,0,0,0,09:46.3,5e663c7f4e03dda6b1aa364d,2
5e66468c4e03dda6b1aa365a,0,0,0,0,0,0,0,0,0,37:16.7,5e6643734e03dda6b1aa3654,1
5e6650374e03dda6b1aa3666,0,0,0,0,0,0,0,0,0,18:31.7,5e664d92eaa71621a7de9996,1
5e66582a4e03dda6b1aa3676,0,0,2,2,0,0,0,0,0,52:26.6,5e665300eaa71621a7de99a4,1
5e665821eaa71621a7de99ab,0,0,0,0,0,0,0,0,0,52:17.2,5e66536aeaa71621a7de99a5,1
5e66967a64d96d0f05e1fee5,0,0,0,5,5,5,5,0,0,18:18.5,5e66931f64d96d0f05e1fee1,1
5e66c2e5f309595c74d4fdb6,0,0,10,5,0,10,0,0,0,27:49.2,5e66be8e6f15e952fff7f426,1
5e679a7ecf42b30c2a2a92b0,0,0,0,0,5,5,0,0,0,47:43.0,5e679806cf42b30c2a2a92ab,2
5e679ad4cf42b30c2a2a92b2,0,10,0,10,15,0,0,0,0,49:08.4,5e67984fd7fac4629a2d3a50,2
5e67f80ca5ec673284bf2fbb,0,0,2,0,0,2,0,0,2,26:52.6,5e67e77601cfd97a4a60f99d,1
5e68157da5ec673284bf2fc7,10,7,3,4,2,7,1,1,0,32:29.9,5e680f034cb6e4474b63ab4f,2
5e681c75a5ec673284bf2fd0,1,0,0,0,4,5,2,0,2,02:13.0,5e68175b4cb6e4474b63ab5d,1
5e68353897370349abe9e4e9,0,0,0,0,0,0,0,0,0,47:52.8,5e68316945f62f90eca9b0ba,1
5e683ae845f62f90eca9b0c3,0,0,5,0,5,0,0,0,0,12:08.0,5e6836f197370349abe9e4eb,2
5e69611b0a4c4141ce2a4436,15,0,0,0,0,0,0,0,0,07:23.6,5e68386f45f62f90eca9b0be,2
5e68425945f62f90eca9b0cc,10,5,0,5,0,5,0,10,0,43:53.7,5e683f2197370349abe9e4f3,1
5e684a8a97370349abe9e4fe,1,0,1,0,0,0,0,0,0,18:50.5,5e6847ac97370349abe9e4f7,2
5e684b3c45f62f90eca9b0df,0,0,0,0,0,0,0,0,0,21:48.6,5e68494497370349abe9e4fb,2
5e684ce097370349abe9e50d,0,0,5,5,0,5,0,0,5,28:48.6,5e684a7d45f62f90eca9b0d9,1
5e684e5645f62f90eca9b0e8,0,0,0,0,0,0,0,0,0,35:03.0,5e684c0297370349abe9e504,2
5e689cc897370349abe9e55c,4,0,7,4,6,7,0,0,7,09:44.8,5e68970d97370349abe9e54d,2
5e689b4a97370349abe9e559,0,0,0,0,0,0,0,0,0,03:22.9,5e68978e45f62f90eca9b11c,2
5e68c23045f62f90eca9b14b,0,0,0,0,0,0,0,0,0,49:20.3,5e68bb6545f62f90eca9b13f,1
5e68c12797370349abe9e581,10,0,0,3,3,0,0,0,12,44:55.8,5e68bdd045f62f90eca9b145,1
5e68d5ff45f62f90eca9b168,0,0,0,0,0,0,0,0,0,13:51.6,5e68d2ea45f62f90eca9b162,1
5e68e4c145f62f90eca9b17c,0,0,0,0,0,5,0,0,0,16:49.4,5e68e06645f62f90eca9b176,2
5e6911b445f62f90eca9b1ae,5,5,5,3,5,1,5,3,3,28:36.4,5e690de245f62f90eca9b1a3,2
5e6912ab97370349abe9e5e2,5,0,5,0,5,5,0,0,5,32:43.9,5e690e5a97370349abe9e5de,2
5e6917ee97370349abe9e5f0,0,0,0,0,0,0,0,0,0,55:10.2,5e69140a97370349abe9e5e6,2
5e6976b17f3f6b78b44bd2cc,0,0,0,0,15,15,0,0,0,39:29.6,5e6974d17f3f6b78b44bd2c7,2
5e69b8070f4ac1a30c21d5f0,0,0,0,0,0,0,0,0,0,18:15.1,5e69b09f0f4ac1a30c21d5eb,1
5e69bcf05b4cc647876e37f6,2,2,2,2,2,2,2,2,2,39:12.6,5e69b9d65b4cc647876e37f0,1
5e69c03b5b4cc647876e37fc,0,0,0,0,15,0,0,0,0,53:15.3,5e69bb4d5b4cc647876e37f2,2
5e69d6af5b4cc647876e3825,0,0,0,0,0,0,0,0,10,29:03.9,5e69d1455b4cc647876e3811,2
5e69d7fe5b4cc647876e3829,0,0,30,0,0,0,0,0,0,34:38.1,5e69d22b5b4cc647876e3813,2
5e69feff5b4cc647876e3851,10,0,5,10,5,0,0,0,5,21:03.4,5e69fc105b4cc647876e3846,2
5e6a1a060f4ac1a30c21d665,0,0,0,2,2,1,0,0,0,16:22.6,5e6a148e0f4ac1a30c21d661,1
5e6a6db89669a5e668ccf7c4,0,0,0,0,0,0,0,0,10,13:28.3,5e6a69e624a351b3373d8094,1
5e6a793a24a351b3373d80a8,0,0,0,0,0,0,0,0,5,02:34.5,5e6a76d09669a5e668ccf7ce,2
5e6a8c5924a351b3373d80bd,0,0,0,0,0,0,0,0,0,24:09.5,5e6a875824a351b3373d80b3,2
5e6a8c9624a351b3373d80c0,5,0,0,5,0,0,0,5,0,25:10.9,5e6a89df9669a5e668ccf7e9,1
5e6a8e0324a351b3373d80c4,0,0,0,0,0,0,0,0,0,31:15.7,5e6a8b4024a351b3373d80b8,1
5e6a9d359669a5e668ccf80a,3,3,3,0,3,3,5,0,3,36:05.3,5e6a99c39669a5e668ccf7ff,1
5e6ab48a24a351b3373d80e3,2,1,1,2,2,0,0,0,0,15:38.4,5e6ab03024a351b3373d80df,1
5e6aba269669a5e668ccf828,0,0,0,0,0,0,0,0,0,39:34.0,5e6ab7489669a5e668ccf81e,2
5e6ada2224a351b3373d810a,0,0,0,0,0,0,0,0,0,56:02.8,5e6ad7e424a351b3373d80fd,2
5e6adcb89669a5e668ccf854,10,0,0,0,10,15,0,0,0,07:05.0,5e6ad97e24a351b3373d8104,1
5e6aec0c9669a5e668ccf869,5,0,0,0,5,0,0,0,0,12:28.0,5e6ae5a19669a5e668ccf85a,1
5e6aebeb9669a5e668ccf867,0,0,0,0,0,0,0,0,0,11:56.0,5e6ae81d9669a5e668ccf85e,2
5e6b2e429669a5e668ccf89e,5,0,0,4,0,4,5,1,10,54:58.7,5e6b28d59669a5e668ccf892,2
5e6bb013e7fba54c8c42aab4,1,0,1,1,1,1,0,0,1,08:51.1,5e6bad49e7fba54c8c42aaa4,1
5e6bb2745f87134bc6854df4,0,0,0,5,0,5,0,0,0,19:00.2,5e6bae475f87134bc6854dd0,1
5e6bb5f9e7fba54c8c42aadf,0,0,0,0,0,0,0,0,0,34:01.7,5e6bb2505f87134bc6854df2,2
5e6bb91e5f87134bc6854e17,0,0,0,0,0,0,0,0,17,47:26.3,5e6bb2b65f87134bc6854df6,1
5e6bb5cae7fba54c8c42aadc,0,0,0,0,0,1,0,0,0,33:14.7,5e6bb344e7fba54c8c42aace,1
5e6bbc37e7fba54c8c42ab0b,0,0,0,0,2,0,0,0,3,00:39.8,5e6bb5d25f87134bc6854e03,2
5e6bbf9de7fba54c8c42ab19,0,0,0,0,0,5,0,0,5,15:09.1,5e6bba82e7fba54c8c42aafb,2
5e6bc4a65f87134bc6854e5d,10,0,10,0,0,5,0,0,10,36:38.4,5e6bc1ac5f87134bc6854e53,1
5e6bcf8c5f87134bc6854e89,5,0,0,5,0,0,0,0,0,23:08.9,5e6bc9dd5f87134bc6854e75,1
5e6bd63f5f87134bc6854eaa,0,34,0,0,0,0,0,1,0,51:43.4,5e6bd41fe7fba54c8c42ab69,2
5e6bdd725f87134bc6854ebe,1,1,5,5,6,10,1,5,1,22:26.5,5e6bd8015f87134bc6854eb2,2
5e6bef18e7fba54c8c42abb9,0,0,0,0,0,0,0,0,0,37:44.2,5e6bebd1e7fba54c8c42abac,2
5e6bf68e5f87134bc6854f0e,0,0,0,0,5,5,0,0,5,09:34.2,5e6bed32e7fba54c8c42abaf,2
5e6befc2e7fba54c8c42abbb,0,0,5,5,0,0,0,0,0,40:35.0,5e6beda15f87134bc6854eeb,1
5e6bf20fe7fba54c8c42abc2,0,0,0,0,0,0,0,0,0,50:23.7,5e6bef34e7fba54c8c42abba,2
5e6bf48ee7fba54c8c42abc9,0,0,5,0,0,5,0,0,0,01:02.3,5e6bf17b5f87134bc6854efe,2
5e6bf6a95f87134bc6854f0f,0,5,0,10,10,0,0,0,10,10:01.3,5e6bf1a75f87134bc6854f00,1
5e6bfe8a5f87134bc6854f1b,0,0,0,0,0,0,35,0,0,43:38.5,5e6bf850e7fba54c8c42abd8,2
5e6c032de7fba54c8c42abf8,1,1,1,1,1,1,1,1,1,03:25.2,5e6bff66e7fba54c8c42abe8,1
5e6c0800e7fba54c8c42ac01,3,2,5,7,5,6,4,0,3,24:01.0,5e6c00dc5f87134bc6854f23,1
5e6c117ae7fba54c8c42ac0e,0,0,0,0,10,0,0,0,0,04:26.0,5e6c0ea95f87134bc6854f49,2
5e6c2535e7fba54c8c42ac1c,0,0,0,0,0,0,0,1,0,28:37.2,5e6c21995f87134bc6854f51,2
5e6c3c3789d932a3467d10cd,0,0,0,0,0,0,0,0,0,06:47.9,5e6c38be89d932a3467d10c9,2
5e6c51c90edef8262ffc9a2e,8,0,0,0,9,8,0,0,0,38:49.6,5e6c4ce51b1ab957b9f0e81a,2
5e6c870c1574cbb57f47bcba,20,10,0,0,0,0,0,5,0,26:04.0,5e6c84b21574cbb57f47bcb5,1
5e6cbd3e196741eb2ef4bc8a,0,0,0,0,0,0,0,0,0,17:18.1,5e6cbc07979ac06d6a875d02,2
5e6cea49a59099fb80e7b441,0,0,0,5,0,5,0,0,5,29:29.9,5e6ce5c1edaf169ff3243e69,1
5e6d36f7878130d7d979b3b2,5,0,0,0,0,0,0,0,0,56:39.4,5e6d32a6878130d7d979b3ac,1
5e6d3af1c91d66cc5511403f,5,0,0,0,5,0,0,0,0,13:37.4,5e6d375bc91d66cc55114032,2
5e6d405bc91d66cc5511404d,1,3,3,5,5,5,3,2,5,36:43.2,5e6d3aaa878130d7d979b3be,1
5e6d4b26c91d66cc55114059,16,0,0,0,17,0,0,0,0,22:46.9,5e6d4719878130d7d979b3de,2
5e6d4e09878130d7d979b3e8,0,0,2,2,0,0,0,0,0,35:05.6,5e6d4a21878130d7d979b3e2,2
5e6d5f01878130d7d979b403,2,0,7,7,7,0,3,0,5,47:29.5,5e6d5b54878130d7d979b3fa,2
5e6d788f78f1e9809b6cc4b2,0,0,2,2,5,3,0,0,5,36:31.4,5e6d75b078f1e9809b6cc4aa,1
5e6d792b2d83860302215fe9,20,0,0,5,0,10,0,0,0,39:07.4,5e6d75b72d83860302215fe1,1
5e6d9460cadc6ed319c439b3,5,0,0,0,0,5,0,0,5,35:12.6,5e6d8ff2cadc6ed319c439ae,1
5e6dbaea8b97f3535be098f9,0,0,0,0,0,0,0,0,0,19:38.5,5e6db77d8b97f3535be098f6,2
5e700e059e949d0e7a0191a0,0,0,0,0,0,0,0,0,0,38:45.4,5e7008c076e558fd22a9897a,1
5e701be376e558fd22a98983,0,0,5,0,5,0,0,0,5,37:55.4,5e7018f99e949d0e7a0191a2,2
5e7171afb012ccdb060c459e,0,0,0,0,0,0,0,0,0,56:15.5,5e716e1d19cffa9016c99602,1
